title,author,genre,description,wikipedia_url
To Kill a Mockingbird,Harper Lee,Classic,"The story of racial injustice and moral growth in the American South through the eyes of a young girl.",https://en.wikipedia.org/wiki/To_Kill_a_Mockingbird
1984,George Orwell,Dystopian,"A dystopian novel about totalitarianism, mass surveillance, and repressive regimentation of all persons and behaviors.",https://en.wikipedia.org/wiki/Nineteen_Eighty-Four
The Great Gatsby,F. Scott Fitzgerald,Classic,"A portrait of the Jazz Age in all of its decadence and excess, through the story of the fabulously wealthy Jay Gatsby.",https://en.wikipedia.org/wiki/The_Great_Gatsby
Pride and Prejudice,Jane Austen,Romance,"The emotional development of Elizabeth Bennet, who learns the error of making hasty judgments.",https://en.wikipedia.org/wiki/Pride_and_Prejudice
The Hobbit,J.R.R. Tolkien,Fantasy,"The adventure of Bilbo Baggins, who is swept into an epic quest to reclaim a dwarf kingdom.",https://en.wikipedia.org/wiki/The_Hobbit
The Catcher in the Rye,J.D. Salinger,Coming-of-age,"The story of Holden Caulfield and his experiences in New York City after being expelled from prep school.",https://en.wikipedia.org/wiki/The_Catcher_in_the_Rye
The Lord of the Rings,J.R.R. Tolkien,Fantasy,"The epic quest to destroy the One Ring and defeat the Dark Lord Sauron.",https://en.wikipedia.org/wiki/The_Lord_of_the_Rings
Harry Potter and the Philosopher's Stone,J.K. Rowling,Fantasy,"The first book in the Harry Potter series following a young wizard's first year at Hogwarts.",https://en.wikipedia.org/wiki/Harry_Potter_and_the_Philosopher%27s_Stone
The Alchemist,Paulo Coelho,Adventure,"A shepherd boy's journey to find worldly treasure leads him to discover riches of a different kind.",https://en.wikipedia.org/wiki/The_Alchemist_(novel)
The Da Vinci Code,Dan Brown,Thriller,"A symbologist and cryptologist become entangled in a battle between secret societies.",https://en.wikipedia.org/wiki/The_Da_Vinci_Code
The Hunger Games,Suzanne Collins,Dystopian,"In a dystopian future, teenagers must fight to the death in a televised event.",https://en.wikipedia.org/wiki/The_Hunger_Games
The Book Thief,Markus Zusak,Historical,"A young girl in Nazi Germany finds solace by stealing books and sharing them with others.",https://en.wikipedia.org/wiki/The_Book_Thief
The Road,Cormac McCarthy,Post-apocalyptic,"A father and son journey through a post-apocalyptic America.",https://en.wikipedia.org/wiki/The_Road
Gone Girl,Gillian Flynn,Thriller,"A woman disappears on her wedding anniversary, and her husband becomes the prime suspect.",https://en.wikipedia.org/wiki/Gone_Girl
The Silent Patient,Alex Michaelides,Psychological thriller,"A criminal psychotherapist tries to unravel why a famous painter shot her husband and then stopped speaking.",https://en.wikipedia.org/wiki/The_Silent_Patient
The Martian,Andy Weir,Science Fiction,"An astronaut becomes stranded on Mars and must find a way to survive.",https://en.wikipedia.org/wiki/The_Martian_(Weir_novel)
Dune,Frank Herbert,Science Fiction,"A noble family becomes embroiled in a war for control of the desert planet Arrakis.",https://en.wikipedia.org/wiki/Dune_(novel)
The Girl with the Dragon Tattoo,Stieg Larsson,Crime,"A journalist and a computer hacker investigate a 40-year-old disappearance.",https://en.wikipedia.org/wiki/The_Girl_with_the_Dragon_Tattoo
The Handmaid's Tale,Margaret Atwood,Dystopian,"In a totalitarian society, women are treated as property of the state.",https://en.wikipedia.org/wiki/The_Handmaid%27s_Tale
Brave New World,Aldous Huxley,Dystopian,"A futuristic World State where humans are genetically bred and pharmaceutically conditioned.",https://en.wikipedia.org/wiki/Brave_New_World
The Kite Runner,Khaled Hosseini,Historical,"An Afghan man returns to his war-torn homeland to redeem himself.",https://en.wikipedia.org/wiki/The_Kite_Runner
The Fault in Our Stars,John Green,Romance,"Two teenagers with cancer fall in love and embark on a life-affirming journey.",https://en.wikipedia.org/wiki/The_Fault_in_Our_Stars
The Chronicles of Narnia,C.S. Lewis,Fantasy,"Children discover a magical wardrobe that leads to the land of Narnia.",https://en.wikipedia.org/wiki/The_Chronicles_of_Narnia
The Shining,Stephen King,Horror,"A family heads to an isolated hotel where the father is influenced by supernatural forces.",https://en.wikipedia.org/wiki/The_Shining_(novel)
The Stand,Stephen King,Post-apocalyptic,"Survivors of a plague must choose between good and evil in a devastated world.",https://en.wikipedia.org/wiki/The_Stand
The Name of the Wind,Patrick Rothfuss,Fantasy,"The biography of a notorious wizard, as told by the wizard himself.",https://en.wikipedia.org/wiki/The_Name_of_the_Wind
The Goldfinch,Donna Tartt,Literary Fiction,"A boy survives a terrorist attack at an art museum and takes a priceless painting.",https://en.wikipedia.org/wiki/The_Goldfinch_(novel)
The Night Circus,Erin Morgenstern,Fantasy,"Two young magicians compete in a mysterious circus, unaware of the consequences.",https://en.wikipedia.org/wiki/The_Night_Circus
The Secret History,Donna Tartt,Literary Fiction,"A group of classics students at an elite college conspire to murder their classmate.",https://en.wikipedia.org/wiki/The_Secret_History
The Pillars of the Earth,Ken Follett,Historical,"The construction of a cathedral in 12th-century England.",https://en.wikipedia.org/wiki/The_Pillars_of_the_Earth
The Shadow of the Wind,Carlos Ruiz Zafón,Historical,"A boy discovers a mysterious book that leads him into a dangerous mystery.",https://en.wikipedia.org/wiki/The_Shadow_of_the_Wind
The Time Traveler's Wife,Audrey Niffenegger,Science Fiction Romance,"A love story complicated by the man's genetic disorder that causes him to time travel unpredictably.",https://en.wikipedia.org/wiki/The_Time_Traveler%27s_Wife
The Help,Kathryn Stockett,Historical,"African American maids in 1960s Mississippi tell their stories to a young white writer.",https://en.wikipedia.org/wiki/The_Help
The Giver,Lois Lowry,Dystopian,"A boy discovers the disturbing truth about his seemingly utopian community.",https://en.wikipedia.org/wiki/The_Giver
The Picture of Dorian Gray,Oscar Wilde,Classic,"A man remains young while his portrait ages and reflects his moral decay.",https://en.wikipedia.org/wiki/The_Picture_of_Dorian_Gray
The Count of Monte Cristo,Alexandre Dumas,Adventure,"A man is wrongfully imprisoned and seeks revenge after his escape.",https://en.wikipedia.org/wiki/The_Count_of_Monte_Cristo
The Three-Body Problem,Liu Cixin,Science Fiction,"Humanity makes contact with an alien civilization on the brink of destruction.",https://en.wikipedia.org/wiki/The_Three-Body_Problem_(novel)
The Lies of Locke Lamora,Scott Lynch,Fantasy,"A group of con artists operating in a fantasy Venice-like city.",https://en.wikipedia.org/wiki/The_Lies_of_Locke_Lamora
The Ocean at the End of the Lane,Neil Gaiman,Fantasy,"A middle-aged man returns to his childhood home and remembers a magical friend.",https://en.wikipedia.org/wiki/The_Ocean_at_the_End_of_the_Lane
The Song of Achilles,Madeline Miller,Historical Fiction,"A retelling of the Iliad from Patroclus's perspective, focusing on his relationship with Achilles.",https://en.wikipedia.org/wiki/The_Song_of_Achilles
The House in the Cerulean Sea,T.J. Klune,Fantasy,"A caseworker for magical youth is sent to evaluate an orphanage on a mysterious island.",https://en.wikipedia.org/wiki/The_House_in_the_Cerulean_Sea
The Midnight Library,Matt Haig,Fantasy,"A woman explores alternate lives she might have lived in a magical library.",https://en.wikipedia.org/wiki/The_Midnight_Library
Project Hail Mary,Andy Weir,Science Fiction,"A lone astronaut must save Earth from an extinction-level event.",https://en.wikipedia.org/wiki/Project_Hail_Mary
The Invisible Life of Addie LaRue,V.E. Schwab,Fantasy,"A woman makes a deal with the devil to live forever but is cursed to be forgotten by everyone.",https://en.wikipedia.org/wiki/The_Invisible_Life_of_Addie_LaRue
Circe,Madeline Miller,Fantasy,"A retelling of Greek mythology from the perspective of the witch Circe.",https://en.wikipedia.org/wiki/Circe_(novel)
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Historical Fiction,"A reclusive Hollywood icon tells her life story to an unknown journalist.",https://en.wikipedia.org/wiki/The_Seven_Husbands_of_Evelyn_Hugo
Educated,Tara Westover,Memoir,"A woman grows up in a survivalist family and eventually earns a PhD from Cambridge.",https://en.wikipedia.org/wiki/Educated_(memoir)
Where the Crawdads Sing,Delia Owens,Mystery,"A murder mystery intertwined with the coming-of-age story of a girl who raised herself in the marshes.",https://en.wikipedia.org/wiki/Where_the_Crawdads_Sing
Normal People,Sally Rooney,Romance,"The complicated relationship between two Irish teenagers from different social classes.",https://en.wikipedia.org/wiki/Normal_People
The Vanishing Half,Brit Bennett,Historical Fiction,"Twin sisters choose to live in very different worlds—one black, one passing as white.",https://en.wikipedia.org/wiki/The_Vanishing_Half
